"","Tumor_Sample","Healthy_Sample"
"ANTXRL",13.6918,3.818
"ANUBL1",237.1014,268.8514
"ANXA10",0.3339,0
"ANXA11",2448.155,3454.6612
"ANXA13",1.6697,4.4543
"ANXA1",11177.826,19644.2889
"ANXA2P1",65.1194,53.7703
"ANXA2P2",6327.6006,5383.0735
"ANXA2P3",6.345,4.4543
"ANXA2",17519.4523,14429.2078
"ANXA3",2063.7836,1499.8409
"ANXA4",3469.0265,1998.7273
"ANXA5",8630.4892,7741.0118
"ANXA6",5826.6823,4926.8215
"ANXA7",2802.4712,2756.9201
"ANXA8L1",9.7345,0
"ANXA8L2",2472.199,456.8883
"ANXA8",3916.1296,807.1906
"ANXA9",36.0661,122.4944
"AOAH",138.5874,152.4022
"AOC2",17.3652,47.7251
"AOC3",147.6039,3884.5052
"AOX1",217.7325,1409.4814
"AOX2P",0,0
"AP1AR",712.3059,630.6077
"AP1B1",3111.7048,2338.5301
"AP1G1",2977.1247,2217.9446
"AP1G2",641.3625,961.6004
"AP1M1",1094.0057,827.8715
"AP1M2",2108.1984,797.3274
"AP1S1",1110.369,556.4747
"AP1S2",472.199,501.7499
"AP1S3",293.2042,93.223
"AP2A1",2206.3817,1558.9787
"AP2A2",1454.6669,1773.1467
"AP2B1",5325.43,5149.5387
"AP2M1",10019.7028,5167.0379
"AP2S1",1328.4355,775.692
"AP3B1",1581.2323,1173.4012
"AP3B2",31.7248,73.1785
"AP3D1",3432.2925,2389.1187
"AP3M1",988.1449,1281.8963
"AP3M2",610.1186,407.8906
"AP3S1",959.7596,1104.9952
"AP3S2",1015.4483,1199.4814
"AP4B1",518.554,340.9418
"AP4E1",277.8427,378.9373
"AP4M1",212.9003,267.5437
"AP4S1",46.0845,80.1782
"APAF1",323.9272,592.7458
"APBA1",240.4408,434.6166
"APBA2",267.4904,116.1311
"APBA3",439.1384,184.5371
"APBB1IP",218.0665,514.4766
"APBB1",436.8008,867.9605
"APBB2",1339.4557,1821.8263
"APBB3",145.6003,364.3016
"APC2",7.4002,6.3952
"APCDD1L",76.4735,333.4394
"APCDD1",905.9943,1139.9936
"APCS",0,0
"APC",668.893,1271.7149
"APEH",1011.8551,1140.9481
"APEX1",2290.5326,2708.5587
"APEX2",679.9132,441.6163
"APH1A",6374.019,3598.4728
"APH1B",457.1715,698.0592
"API5",4511.6046,2440.0255
"APIP",737.3251,309.8218
"APITD1",231.5913,123.8976
"APLF",164.6352,125.3579
"APLNR",170.3122,946.5479
"APLN",198.0297,125.0398
"APLP1",103.5231,28.3169
