"","Tumor_Sample","Healthy_Sample"
"TIMM8B",513.2743,294.3048
"TIMM9",437.8026,471.2059
"TIMP1",4182.6682,4162.5835
"TIMP2",11806.3116,21592.7458
"TIMP3",12335.2813,27171.4922
"TIMP4",12.022,414.8902
"TINAGL1",1232.2591,2927.776
"TINAG",3.0055,0
"TINF2",815.4951,1149.2205
"TIPARP",646.5186,4343.9612
"TIPIN",121.5562,76.6783
"TIPRL",1642.0104,959.2746
"TIRAP",308.5657,171.174
"TJAP1",715.9793,674.833
"TJP1",1189.5141,2893.4139
"TJP2",1100.6846,1807.1906
"TJP3",416.0962,422.8444
"TK1",1245.283,117.7219
"TK2",942.0604,1186.1279
"TKTL1",0.6679,4.4543
"TKTL2",0.6679,0.6363
"TKT",3652.6966,3103.4044
"TLCD1",131.9085,39.1346
"TLE1",956.0862,1036.5892
"TLE2",1497.078,1138.0846
"TLE3",1155.4517,1137.1301
"TLE4",596.7607,778.5555
"TLE6",29.7212,17.4992
"TLK1",1698.4472,1398.0274
"TLK2",714.3096,620.1082
"TLL1",28.0514,486.7961
"TLL2",4.3413,10.1814
"TLN1",5223.2426,10263.7607
"TLN2",476.2064,1448.2978
"TLR10",19.3688,45.1798
"TLR1",290.5326,268.5332
"TLR2",836.8676,615.972
"TLR3",249.4573,307.0315
"TLR4",394.7237,1552.9749
"TLR5",1065.6203,473.1149
"TLR6",42.4111,42.3163
"TLR7",199.3655,191.5367
"TLR8",51.0937,55.3611
"TLR9",30.89,35.1129
"TLX1NB",3.0055,0
"TLX1",90.4992,0
"TLX2",4.3413,0.3182
"TLX3",1.0018,0
"TM2D1",493.5715,378.9373
"TM2D2",771.7482,850.4613
"TM2D3",821.5061,932.8667
"TM4SF18",235.7656,412.9812
"TM4SF19",17.9195,0.6968
"TM4SF1",11458.6742,16795.7366
"TM4SF20",0,0.3182
"TM4SF4",3.6734,2.5453
"TM4SF5",0,0
"TM6SF1",250.7931,281.2599
"TM6SF2",13.9623,5.4088
"TM7SF2",120.2204,216.9901
"TM7SF3",7372.1823,1356.9838
"TM7SF4",7.0129,1.5908
"TM9SF1",1975.1211,1430.3054
"TM9SF2",9948.5724,3735.2848
"TM9SF3",6323.2593,6068.406
"TM9SF4",2775.7556,1618.8355
"TMBIM1",3819.6694,4115.8129
"TMBIM4",1379.3588,1524.518
"TMBIM6",11807.6474,14934.4575
"TMC1",0.6679,1.2727
"TMC2",0.3339,2.2272
"TMC3",0.3339,1.5908
"TMC4",2272.1656,1190.9004
"TMC5",36.0661,199.8091
"TMC6",1105.0259,681.5145
"TMC7",181.6664,101.8136
"TMC8",94.8405,196.3093
"TMCC1",843.2126,770.2832
"TMCC2",186.6756,107.2224
"TMCC3",165.3031,451.4795
"TMCO1",3472.366,1817.0538
"TMCO2",0,0
"TMCO3",2665.8875,1240.5345
"TMCO4",785.106,698.3773
"TMCO5A",0,0.3182
"TMCO6",135.9158,204.2634
"TMCO7",299.2152,350.3023
"TMED10P1",40.7414,26.0897
"TMED10",8948.0715,6859.37
"TMED1",725.0359,466.5002
"TMED2",7007.5138,5171.8104
"TMED3",4315.9125,1385.937
"TMED4",757.0546,847.2797
"TMED5",1977.2616,1576.8374
"TMED6",3.3395,9.545
"TMED7-TICAM2",175.3815,83.083
"TMED7",2086.0578,2362.5835
"TMED8",285.1895,369.0741
"TMED9",5525.4633,2999.0455
"TMEFF1",146.9027,50.9704
"TMEFF2",0.6679,2.2272
"TMEM100",25.7138,206.4906
"TMEM101",815.829,692.6503
"TMEM102",180.9985,166.0834
"TMEM104",897.9796,337.2574
"TMEM105",307.8978,27.0442
"TMEM106A",168.6425,134.2666
"TMEM106B",1311.7382,1557.111
"TMEM106C",1454.3329,928.4123
"TMEM107",135.5819,199.1728
"TMEM108",183.0022,69.9968
"TMEM109",3902.1539,3096.4047
"TMEM110",96.8442,203.3089
"TMEM111",1100.3506,853.643
"TMEM114",0.6679,0
"TMEM115",770.7464,995.8638
"TMEM116",163.6333,163.8562
"TMEM117",83.8203,128.8578
"TMEM119",1236.2665,1056.3156
"TMEM11",388.3787,387.5278
"TMEM120A",571.3809,477.251
"TMEM120B",316.4836,409.0932
"TMEM121",41.0753,44.8616
"TMEM123",12714.6435,6297.4865
"TMEM125",959.4256,244.0344
"TMEM126A",280.1803,220.8081
"TMEM126B",495.9092,449.2523
"TMEM127",2644.8489,2201.3999
"TMEM128",347.3034,476.9329
"TMEM129",734.0124,747.057
"TMEM130",36.4001,37.2256
"TMEM131",974.1192,1510.3404
"TMEM132A",3317.4153,548.5205
"TMEM132B",4.0073,6.3633
"TMEM132C",0.6679,501.4318
"TMEM132D",1.3358,0
"TMEM132E",176.9912,13.6812
"TMEM133",217.7325,127.2669
"TMEM134",546.3349,361.7563
"TMEM135",346.6355,656.3793
"TMEM136",369.3438,244.3525
"TMEM138",489.8981,392.6185
"TMEM139",164.3012,298.1228
"TMEM140",414.7938,700.2482
"TMEM141",615.1277,468.0242
"TMEM143",99.8497,129.1759
"TMEM144",262.8152,355.0748
"TMEM145",94.8405,84.6325
"TMEM146",0.6679,0.9545
"TMEM147",1483.3862,748.966
"TMEM149",127.801,77.8396
"TMEM14A",1135.4149,430.7986
"TMEM14B",608.7828,692.9685
"TMEM14C",1521.456,1763.2835
"TMEM14E",1.3358,1.2727
"TMEM150A",203.7068,264.0789
"TMEM150B",21.3725,10.1814
"TMEM150C",225.0793,313.713
"TMEM151A",98.8479,0.6363
"TMEM151B",11.992,13.6017
"TMEM154",215.3949,128.5396
"TMEM155",2.6716,1.5908
"TMEM156",5.6771,15.9084
"TMEM158",1309.0666,85.9052
"TMEM159",1207.5472,911.2313
"TMEM160",62.7818,32.4531
"TMEM161A",862.2475,322.6217
"TMEM161B",215.0609,328.0305
"TMEM163",116.547,35.9529
"TMEM164",604.1075,504.6134
"TMEM165",1924.5283,1398.9819
"TMEM167A",1675.7389,1991.4095
"TMEM167B",2080.4809,1286.0325
"TMEM168",700.9517,969.1378
"TMEM169",63.1157,17.8174
"TMEM170A",642.5113,780.7827
"TMEM170B",44.7487,194.0821
"TMEM171",78.8112,1.2727
"TMEM173",563.3662,1153.0385
"TMEM174",0.6679,0
"TMEM175",247.1197,287.6233
"TMEM176A",261.1454,827.5533
"TMEM176B",710.6362,1892.1413
"TMEM177",195.0242,93.223
"TMEM178",12.356,75.0875
"TMEM179B",825.5134,679.9236
"TMEM179",0,0
"TMEM17",131.9085,64.588
"TMEM180",107.5305,68.406
"TMEM181",1249.6243,1492.5231
"TMEM182",224.7454,94.4957
"TMEM183A",1453.6651,790.3277
"TMEM184A",118.0063,187.8715
"TMEM184B",2610.1519,1470.7445
"TMEM184C",619.803,595.2911
"TMEM185A",478.8779,594.6548
"TMEM185B",452.4962,662.4244
"TMEM186",294.206,146.6752
"TMEM187",206.0444,104.0407
"TMEM188",322.2575,322.9399
"TMEM189-UBE2V1",6.1813,14.6484
"TMEM189",1026.8726,562.574
"TMEM18",639.5058,642.0617
"TMEM190",0,5.4088
"TMEM191A",33.7285,9.8632
"TMEM192",406.0778,616.2902
"TMEM194A",1029.5542,558.7019
"TMEM194B",224.0775,158.1292
"TMEM195",6.345,26.0897
"TMEM196",0,0
"TMEM198",49.0933,52.8158
"TMEM199",406.1947,409.7996
"TMEM19",907.6641,669.4241
"TMEM200A",331.6079,333.1212
"TMEM200B",141.7499,167.5215
"TMEM200C",156.6205,41.3618
"TMEM201",579.0616,342.6662
"TMEM202",0,0
"TMEM203",456.1696,526.2488
"TMEM204",306.896,319.7582
"TMEM205",475.8724,962.1381
"TMEM206",718.6509,128.8578
"TMEM207",1.0018,0
"TMEM208",1334.1125,404.7089
"TMEM209",950.4091,528.7941
"TMEM20",195.0242,88.1324
"TMEM211",6.011,1.5908
"TMEM212",0,0
"TMEM213",1159.5158,145.0843
"TMEM214",3692.1022,1808.7814
"TMEM215",7.3468,0
"TMEM216",401.4026,266.6242
"TMEM217",18.6041,32.9685
"TMEM218",425.1127,275.8511
"TMEM219",1510.7697,1377.3465
"TMEM220",233.7619,257.7156
"TMEM222",790.7831,562.2017
"TMEM223",294.8739,181.9917
"TMEM225",0,0
"TMEM229A",0,0.3182
"TMEM229B",80.1469,201.7181
"TMEM22",73.802,216.3538
"TMEM231",360.3239,297.8046
"TMEM232",11.0202,13.6812
"TMEM233",1.6697,6.0452
"TMEM25",640.1737,531.3395
"TMEM26",61.7799,123.8435
"TMEM27",48.7561,51.8613
"TMEM2",1146.4351,1732.7394
"TMEM30A",4894.6402,5029.5896
"TMEM30B",630.1553,921.4127
"TMEM30C",0,0
"TMEM31",2.3376,3.1817
"TMEM33",2347.3034,1376.392
"TMEM35",2.0037,94.8139
"TMEM37",100.5176,408.5269
"TMEM38A",378.0264,70.315
"TMEM38B",189.6811,123.7671
"TMEM39A",841.5428,799.5546
"TMEM39B",413.4246,288.5778
"TMEM40",25.0459,36.5892
"TMEM41A",812.8235,561.2472
"TMEM41B",515.278,590.2004
"TMEM42",193.6884,157.4928
"TMEM43",2705.9609,4070.6332
"TMEM44",197.3618,223.6717
"TMEM45A",836.1997,233.5348
"TMEM45B",59.1084,41.9981
"TMEM47",2594.0892,2238.9437
"TMEM48",574.3864,263.1244
"TMEM49",2271.1638,2581.6099
"TMEM50A",3381.5328,2781.419
"TMEM50B",580.4007,1118.3583
"TMEM51",377.3585,352.2113
"TMEM52",57.4386,21.9535
"TMEM53",333.5315,174.8584
"TMEM54",1469.0265,461.0245
"TMEM55A",409.7512,403.118
"TMEM55B",512.2725,538.3392
"TMEM56",553.5415,267.3178
"TMEM57",838.2034,727.3306
"TMEM59L",18.701,2.2272
"TMEM59",6092.169,6115.8129
"TMEM5",671.8985,331.5304
"TMEM60",334.9474,254.8521
"TMEM61",89.1635,54.7248
"TMEM62",301.2189,386.8915
"TMEM63A",1249.2904,1968.1833
"TMEM63B",1673.7352,689.7868
"TMEM63C",14.6936,55.3611
"TMEM64",935.0476,794.1457
"TMEM65",1186.8425,755.6475
"TMEM66",3878.7778,5839.6437
"TMEM67",273.8354,291.4413
"TMEM68",431.1237,436.2074
"TMEM69",530.6395,456.5702
"TMEM70",647.1865,715.2402
"TMEM71",135.248,158.1292
"TMEM72",21.3725,0
"TMEM74",58.7744,5.4088
"TMEM79",428.4522,203.3089
"TMEM80",146.2682,275.692
"TMEM81",42.4111,35.6347
"TMEM82",1.0018,0.3182
"TMEM84",25.7138,58.5428
"TMEM85",745.6838,1113.5094
"TMEM86A",127.8978,173.9516
"TMEM86B",39.0716,68.7241
"TMEM87A",2177.993,2996.5002
"TMEM87B",731.6747,1131.7213
"TMEM88B",0.3339,0
"TMEM88",2.0037,115.8129
"TMEM89",0,0
"TMEM8A",1754.55,641.1072
"TMEM8B",404.0741,523.7035
"TMEM8C",0,0
"TMEM90A",7.0129,6.9997
"TMEM90B",123.5599,11.454
"TMEM91",51.4276,138.0846
"TMEM92",20.3707,3.818
"TMEM93",287.9312,177.986
"TMEM95",0,0
"TMEM97",626.7724,328.0528
"TMEM98",1064.6185,1307.0315
"TMEM99",432.1256,227.8078
"TMEM9B",1234.5968,1342.6662
"TMEM9",2199.6994,1260.5791
"TMF1",1333.4446,2032.4531
"TMIE",17.3652,15.5902
"TMIGD1",0,0.3182
"TMIGD2",2.6716,9.8632
"TMLHE",721.9903,231.3077
"TMOD1",128.205,651.6227
"TMOD2",1661.3792,1120.9036
"TMOD3",1695.7756,1649.0614
"TMOD4",0,1.2727
"TMPO",1054.4866,1264.9634
"TMPPE",152.2792,33.0894
"TMPRSS11A",1.3358,0.3182
"TMPRSS11BNL",0,0
"TMPRSS11B",0,0
"TMPRSS11D",1.0018,0.9545
"TMPRSS11F",0,0
"TMPRSS12",2.3376,0.6363
"TMPRSS13",672.2324,421.5717
"TMPRSS15",0.6679,1.5908
"TMPRSS2",1126.0645,1465.1607
"TMPRSS3",1467.3568,683.7416
"TMPRSS4",4.3413,12.7267
"TMPRSS5",144.5984,16.8629
"TMPRSS6",2.6716,51.5431
"TMPRSS7",0,0.3182
"TMPRSS9",3.0055,2.8635
"TMSB10",17411.9219,12772.8285
"TMSB15A",86.8258,15.9084
"TMSB15B",116.7574,57.022
"TMSB4Y",0,0
"TMSL3",20786.4418,33504.2953
"TMTC1",159.9599,2578.7464
"TMTC2",416.4301,333.7576
"TMTC3",751.0436,907.0951
"TMTC4",374.6869,328.0305
"TMUB1",674.57,399.6182
"TMUB2",1067.624,1013.0449
"TMX1",1401.9035,1142.2208
"TMX2",3084.6552,1255.8066
"TMX3",679.5792,1469.9332
"TMX4",2460.8449,1258.0337
"TNC",9202.8719,6024.4989
"TNFAIP1",1210.4358,2212.9908
"TNFAIP2",3137.0847,3211.5813
"TNFAIP3",819.8364,1557.7474
"TNFAIP6",179.3288,611.8358
"TNFAIP8L1",126.2314,111.6767
"TNFAIP8L2",101.5195,61.4063
"TNFAIP8L3",310.9033,174.6739
"TNFAIP8",377.3585,335.3484
"TNFRSF10A",168.6425,212.2176
"TNFRSF10B",929.7045,1445.4343
"TNFRSF10C",96.1763,53.4521
"TNFRSF10D",23.3762,479.4782
"TNFRSF11A",38.4037,222.7171
"TNFRSF11B",1101.0185,208.0815
"TNFRSF12A",1443.6467,1190.9004
"TNFRSF13B",1.3358,8.5905
"TNFRSF13C",9.0165,5.0907
"TNFRSF14",657.4119,1094.5434
"TNFRSF17",1.0018,41.3618
"TNFRSF18",273.1675,19.09
"TNFRSF19",1284.0207,504.6134
"TNFRSF1A",3509.7679,3268.8514
"TNFRSF1B",693.6049,1839.3255
"TNFRSF21",2194.3563,1214.1266
"TNFRSF25",61.112,102.7681
"TNFRSF4",29.0533,40.0891
"TNFRSF6B",65.3164,55.4248
"TNFRSF8",58.1065,55.9975
"TNFRSF9",23.7101,3.1817
"TNFSF10",1320.7547,3539.2937
"TNFSF11",79.479,12.4085
"TNFSF12-TNFSF13",120.9851,96.9742
"TNFSF12",460.9818,859.7327
"TNFSF13B",122.892,57.2701
"TNFSF13",336.0494,867.0283
"TNFSF14",3.3395,17.8174
"TNFSF15",68.1249,16.8629
"TNFSF18",1.0018,3.818
"TNFSF4",62.1139,84.3143
"TNFSF8",65.4533,36.9074
"TNFSF9",61.7799,89.405
"TNF",119.8865,50.9068
"TNIK",223.7435,233.5348
"TNIP1",2190.349,2551.7022
"TNIP2",591.4176,591.7913
"TNIP3",4.3413,4.4543
"TNK1",341.9603,316.2584
"TNK2",1830.1453,1024.8584
"TNKS1BP1",7990.3156,6419.3446
"TNKS2",1201.5361,2356.9838
"TNKS",1077.8694,1197.4992
"TNMD",1.0018,78.2692
"TNNC1",13.0239,5.0907
"TNNC2",13.0239,27.0442
"TNNI1",11.3541,34.3621
"TNNI2",9.3505,47.0888
"TNNI3K",25.5101,41.489
"TNNI3",8.0147,11.454
"TNNT1",849.2236,11.7722
"TNNT2",36.734,15.5902
"TNNT3",0.3339,205.8543
"TNN",15.0276,505.5679
"TNP1",0,0
"TNP2",0,0
"TNPO1",2267.1565,2689.1505
"TNPO2",2824.1777,1513.5221
"TNPO3",1365.5034,765.8288
"TNRC18",1447.988,2937.9574
"TNRC6A",738.6876,1411.0722
"TNRC6B",968.4421,1128.2214
"TNRC6C",407.8076,731.7881
"TNR",0,0
"TNS1",2292.8703,13073.4967
"TNS3",1835.6988,2274.2603
"TNS4",551.6781,2446.3888
"TNXB",173.0105,26554.6452
"TOB1",2098.5774,3778.8737
"TOB2",2321.9235,2905.5043
"TOE1",167.2633,238.3964
"TOLLIP",1139.0883,1068.7241
"TOM1L1",1151.9853,573.2358
"TOM1L2",583.4029,1550.7477
"TOM1",1782.2675,1125.6761
"TOMM20L",0.3339,1.5908
"TOMM20",8775.4216,6101.1772
"TOMM22",1763.9005,958.3201
"TOMM34",1394.8906,734.0121
"TOMM40L",383.6166,254.9284
"TOMM40",1223.5766,614.3812
"TOMM5",835.1945,725.7302
"TOMM6",2865.0626,1422.6058
"TOMM70A",1809.9115,1667.8333
"TOMM7",1644.014,1766.4652
"TOP1MT",1703.7903,764.8743
"TOP1P1",76.4735,87.8142
"TOP1P2",4.6752,4.1362
"TOP1",2073.468,2441.2981
"TOP2A",2589.08,201.7181
"TOP2B",3564.201,4104.6771
"TOP3A",460.5109,397.7092
"TOP3B",343.9639,259.9427
"TOPBP1",1025.5468,824.6898
"TOPORS",468.5256,1074.7693
"TOR1AIP1",2243.4463,2368.756
"TOR1AIP2",497.9128,369.0741
"TOR1A",654.1994,875.2784
"TOR1B",517.9496,540.5663
"TOR2A",118.8846,142.2208
"TOR3A",1196.8609,911.2313
"TOX2",103.5231,86.2234
"TOX3",506.2615,106.2679
"TOX4",1267.5639,1836.0229
"TOX",779.7629,115.8129
"TP53AIP1",2.0037,92.9049
"TP53BP1",705.293,1293.0321
"TP53BP2",2495.5752,1108.8132
"TP53I11",2213.3912,2239.2619
"TP53I13",547.0028,355.3929
"TP53I3",360.6612,349.3478
"TP53INP1",330.2722,827.5533
"TP53INP2",455.1678,954.8202
"TP53RK",494.9073,515.1129
"TP53TG1",273.8354,188.9914
"TP53TG3B",0,7.636
"TP53TG5",0,0
"TP53",2261.4794,1485.5234
"TP63",31.3909,1972.0013
"TP73",11.0202,47.0888
"TPBG",763.0656,909.0041
"TPCN1",454.4999,1845.3707
"TPCN2",275.2813,298.231
"TPD52L1",2228.7527,1079.86
"TPD52L2",2971.4477,2192.4913
"TPD52L3",0.6679,0
"TPD52",5050.5894,1656.6911
"TPH1",2.0037,3.4998
"TPH2",0,0.3182
"TPI1P2",14.3597,7.3178
"TPI1P3",0,0
"TPI1",14434.4632,3604.1998
"TPK1",33.0606,82.4053
"TPM1",5521.9269,9301.9949
"TPM2",3237.9362,5313.0767
"TPM3",10009.3505,5879.7327
"TPM4",19133.7452,16915.3675
"TPMT",1094.3396,418.3901
"TPO",0.3339,126.6306
"TPP1",3439.6393,3282.5326
"TPP2",1401.9035,1026.7261
"TPPP2",0.3339,1.5908
"TPPP3",119.8865,3328.3487
"TPPP",78.8112,1227.8078
"TPRA1",596.4268,630.6077
"TPRG1L",3004.5083,1674.5148
"TPRG1",15.3615,101.4954
"TPRKB",345.9676,264.0789
"TPRN",134.2461,209.3541
"TPRX1",0,0
"TPRXL",32.0588,6.9997
"TPR",2517.6023,3747.1969
"TPSAB1",430.7898,855.552
"TPSB2",436.4669,1011.1359
"TPSD1",10.6863,18.7719
"TPSG1",0.3339,18.4537
"TPST1",444.8155,592.7458
"TPST2",686.2581,596.5638
"TPT1",43623.9773,62003.4998
"TPTE2P1",9.6844,15.272
"TPTE2P3",1.0018,2.5453
"TPTE2",0.6679,1.2727
"TPTE",0.6679,2.8221
"TPX2",1878.7778,97.9955
"TRA2A",884.2879,2011.454
"TRA2B",2857.9062,3551.384
"TRABD",1553.5148,538.6573
"TRADD",506.9294,324.5307
"TRAF1",302.5547,241.489
"TRAF2",654.8673,250.3977
"TRAF3IP1",405.7439,652.2431
"TRAF3IP2",1033.8955,842.5072
"TRAF3IP3",90.4992,77.3147
"TRAF3",334.2795,219.5355
"TRAF4",1295.7088,1558.3837
"TRAF5",532.6432,631.244
"TRAF6",281.5161,285.3961
"TRAF7",3589.3705,1687.6456
"TRAFD1",589.4139,971.3649
"TRAIP",81.1488,34.6802
"TRAK1",839.8731,1928.0942
"TRAK2",1578.8946,1666.2424
"TRAM1L1",144.5984,94.1775
"TRAM1",10737.6858,6161.3108
"TRAM2",1143.0957,1843.4617
"TRANK1",355.3181,793.1912
"TRAP1",2389.2603,1384.4003
"TRAPPC10",926.365,1158.7655
"TRAPPC1",1394.5567,931.594
"TRAPPC2L",557.3552,374.8011
"TRAPPC2P1",84.6519,188.9023
"TRAPPC2",270.162,263.4426
"TRAPPC3",2053.4313,1148.5842
"TRAPPC4",914.009,552.9749
"TRAPPC5",472.533,292.0776
"TRAPPC6A",544.9992,300.6682
"TRAPPC6B",444.4815,699.65
"TRAPPC9",1087.6607,499.8409
"TRAT1",2.0037,23.8626
"TRDMT1",507.2633,201.3999
"TRDN",0,208.7178
"TREH",1.3358,3.1817
"TREM1",59.1084,67.7696
"TREM2",206.3784,297.1683
"TREML1",0.6679,3.1817
"TREML2P1",0,0
"TREML2",3.3395,3.4998
"TREML3",2.0037,0.3182
"TREML4",1.6697,0.6363
"TRERF1",282.184,366.2106
"TREX1",335.7689,308.8832
"TREX2",9.0165,3.4998
"TRHDE",5.9776,53.5921
"TRHR",0.3339,0.3182
"TRH",1.0018,4.4543
"TRIAP1",348.9731,461.6608
"TRIB1",1805.9776,6860.9609
"TRIB2",847.8878,1447.9796
"TRIB3",667.2232,193.4458
"TRIL",71.4644,684.378
"TRIM10",1.0018,0
"TRIM11",677.9095,388.1642
"TRIM13",333.9489,725.9402
"TRIM14",1149.7746,793.1912
"TRIM15",2.3376,0
"TRIM16L",126.5387,94.6071
"TRIM16",535.1411,515.4311
"TRIM17",52.7634,32.7712
"TRIM21",322.9254,462.6153
"TRIM22",887.2934,2359.2109
"TRIM23",194.6903,428.2533
"TRIM24",730.005,693.923
"TRIM25",1132.4094,1387.5278
"TRIM26",1795.2914,1692.6503
"TRIM27",1649.6911,1200.7636
"TRIM28",3120.7213,3874.3239
"TRIM29",7431.9586,3564.4289
"TRIM2",2837.8694,2110.0859
"TRIM31",1.0018,6.0452
"TRIM32",360.3273,476.9329
"TRIM33",2006.6789,1692.9685
"TRIM34",121.2222,263.1244
"TRIM35",361.3291,523.7035
"TRIM36",140.2571,94.1775
"TRIM37",1396.6305,644.5912
"TRIM38",662.548,659.5609
"TRIM39",430.2321,469.8409
"TRIM3",183.6701,297.8046
"TRIM40",0,0
"TRIM41",491.3875,567.7028
"TRIM42",0,0
"TRIM43",14.6936,0
"TRIM44",2026.3817,1404.7089
"TRIM45",146.6021,159.0837
"TRIM46",127.2333,23.8626
"TRIM47",3193.8554,949.7296
"TRIM48",1.0018,0
"TRIM49L",0,0
"TRIM49",0,0
"TRIM4",749.7078,1306.3952
"TRIM50",8.6826,3.4998
"TRIM52",101.5195,168.9469
"TRIM53",0,0
"TRIM54",27.0496,5.4088
"TRIM55",0.6679,0.6363
"TRIM56",317.2483,556.1565
"TRIM58",196.2498,33.7257
"TRIM59",832.9437,52.7585
"TRIM5",334.9307,630.3563
"TRIM6-TRIM34",0,0
"TRIM60",0,0
"TRIM61",2.0037,4.4543
"TRIM62",118.5507,175.9465
"TRIM63",1.0018,2.2272
"TRIM64",0,0
"TRIM65",888.2952,483.2962
"TRIM66",162.2975,414.5721
"TRIM67",1.6697,1.5908
"TRIM68",178.9948,285.7143
"TRIM69",27.0496,13.9994
"TRIM6",138.2535,217.9446
"TRIM71",1.6697,0
"TRIM72",1.3358,0.3182
"TRIM74",2.0738,6.3633
"TRIM77",0,0
"TRIM78P",6.3617,8.2055
"TRIM7",33.7285,22.2717
"TRIM8",1067.29,2189.9459
"TRIM9",66.1212,68.7241
"TRIML1",0.3339,0.3182
"TRIML2",215.3949,0
"TRIOBP",1876.4401,2150.8113
"TRIO",1758.8913,3037.5437
"TRIP10",1152.4462,1538.021
"TRIP11",868.2585,1326.7579
"TRIP12",3374.8539,3104.9952
"TRIP13",405.076,67.1333
"TRIP4",525.9643,626.7897
"TRIP6",1491.4009,1433.6621
"TRIT1",495.2413,363.9835
"TRMT112",1900.8182,1544.0662
"TRMT11",315.9125,288.2596
"TRMT12",463.8504,348.3933
"TRMT1",624.1443,555.5202
"TRMT2A",798.7978,552.3385
"TRMT2B",322.9254,282.5326
"TRMT5",337.619,534.8393
"TRMT61A",564.0341,382.7553
"TRMT61B",315.7222,289.2364
"TRMT6",675.2379,433.0258
"TRMU",501.5862,146.6752
"TRNAU1AP",420.1035,272.3513
"TRNP1",231.7582,330.5759
"TRNT1",712.8235,319.1696
"TROAP",169.3104,19.7264
"TROVE2",1228.4655,1224.2571
"TRO",378.3603,247.5342
"TRPA1",28.7193,0.9577
"TRPC1",102.8552,284.4416
"TRPC2",0.6679,1.5908
"TRPC3",7.0129,2.8635
"TRPC4AP",2396.3934,1946.2297
"TRPC4",3.6734,6.9997
"TRPC5",0,0
"TRPC6",66.4552,228.7623
"TRPC7",0,0
"TRPM1",0,0.9545
"TRPM2",581.3992,219.5355
"TRPM3",3.6734,2.5453
"TRPM4",1346.4685,749.9205
"TRPM5",1.0018,0.3182
"TRPM6",12.6899,95.7684
"TRPM7",1537.1514,1107.8587
"TRPM8",1112.3727,6.0452
"TRPS1",8234.0958,3788.7369
"TRPT1",325.9309,241.489
"TRPV1",101.1855,195.0366
"TRPV2",153.9489,220.1718
"TRPV3",15.6954,15.272
"TRPV4",1517.1147,376.7101
"TRPV5",1.0018,0
"TRPV6",245.116,221.4445
"TRRAP",1548.6759,1923.6812
"TRUB1",499.2486,545.9752
"TRUB2",390.3824,419.9809
"TRY6",1.3358,0.6363
"TRYX3",0,0
"TSC1",479.2119,897.8683
"TSC22D1",3394.5567,10124.4034
"TSC22D2",535.9826,1454.0248
"TSC22D3",3133.7452,5717.7856
"TSC22D4",885.2897,1034.3621
"TSC2",1293.0372,1633.4712
"TSEN15",902.9888,517.3401
"TSEN2",117.8828,166.4015
"TSEN34",976.7908,579.0646
"TSEN54",433.1274,311.4858
"TSFM",801.4694,433.6621
"TSG101",1121.0553,1389.1187
"TSG1",0,1.5908
"TSGA10IP",0.3339,0.3182
"TSGA10",23.3762,54.0885
"TSGA13",0,0
"TSGA14",230.7564,310.2132
"TSHB",0,0
"TSHR",1.0018,18.4537
"TSHZ1",307.5639,1215.3993
"TSHZ2",17.0312,608.336
"TSHZ3",189.6811,701.2409
"TSIX",293.4647,41.7881
"TSKS",0.3339,8.9087
"TSKU",747.0362,1335.3484
"TSLP",28.7193,96.0865
"TSNARE1",311.2373,295.8956
"TSNAX-DISC1",1.9102,0
"TSNAXIP1",7.3468,28.3169
"TSNAX",1453.9022,1007.636
"TSN",3059.2753,1698.6955
"TSPAN10",160.9618,40.0891
"TSPAN11",123.5599,282.5326
"TSPAN12",522.6248,547.566
"TSPAN13",1748.8729,1424.4353
"TSPAN14",1631.992,3042.9526
"TSPAN15",355.3181,990.7731
"TSPAN16",0,0
"TSPAN17",965.7706,615.972
"TSPAN18",863.5832,613.4267
"TSPAN19",0.3339,0.6363
"TSPAN1",114.8773,454.9793
"TSPAN2",215.7288,419.3446
"TSPAN31",1568.8763,1156.8565
"TSPAN32",5.3431,11.454
"TSPAN33",1752.5463,325.167
"TSPAN3",2490.566,3254.2157
"TSPAN4",425.4467,1484.8871
"TSPAN5",126.5654,91.9504
"TSPAN6",1161.7966,1349.9841
"TSPAN7",279.5124,1988.8641
"TSPAN8",10.6863,43.5889
"TSPAN9",1904.1576,1683.7416
"TSPO2",0,0.6363
"TSPO",6593.0873,1550.1114
"TSPY1",0,0
"TSPY2",0,0
"TSPY3",0,0
"TSPY4",0,0
"TSPYL1",2142.7484,3081.3172
"TSPYL2",596.0928,1286.6688
"TSPYL3",12.6899,35.9529
"TSPYL4",425.1127,1154.6293
"TSPYL5",2117.2149,912.504
"TSPYL6",0.3339,0.6363
"TSR1",1311.5645,1163.7894
"TSR2",1262.9821,832.644
"TSSC1",457.8394,266.9424
"TSSC4",436.4669,706.0134
"TSSK1B",1.0018,1.5908
"TSSK2",0,0
"TSSK3",16.3433,36.6592
"TSSK4",6.011,20.6809
"TSSK6",20.3707,9.545
"TSTA3",1558.524,656.3793
"TSTD1",582.735,420.6172
"TSTD2",342.4912,487.7983
"TST",1248.2885,416.1629
"TTBK1",10.6863,4.4543
"TTBK2",84.1543,228.7623
"TTC12",185.6737,340.1209
"TTC13",569.3772,286.3506
"TTC14",779.7629,834.8711
"TTC15",535.6487,692.3322
"TTC16",1.0018,3.4998
"TTC17",3148.1049,2051.2249
"TTC18",7.0496,76.4365
